,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,28.27,24.59,799.0,0.0,0.019
1,28.27,24.59,799.0,0.0,0.038
2,28.27,24.59,799.0,0.0,0.056999999999999995
3,28.27,24.59,799.0,0.0,0.076
4,28.27,24.59,799.0,0.0,0.095
5,28.27,24.59,799.0,0.0,0.114
6,28.27,24.63,799.0,0.0,0.133
7,28.27,24.63,799.0,0.0,0.152
8,28.27,24.63,799.0,0.0,0.17099999999999999
9,28.27,24.63,800.0,0.0,0.18999999999999997
10,28.13,24.63,799.0,0.0,0.20899999999999996
11,28.13,24.63,799.0,0.0,0.22799999999999995
12,28.13,24.63,799.0,0.0,0.24699999999999994
13,28.13,24.63,800.0,0.0,0.26599999999999996
14,28.13,24.65,799.0,0.0,0.285
15,28.13,24.65,800.0,0.0,0.304
16,28.13,24.65,800.0,0.0,0.323
17,28.13,24.65,800.0,0.0,0.342
18,28.13,24.65,799.0,0.0,0.36100000000000004
19,28.13,24.65,800.0,0.0,0.38000000000000006
20,28.13,24.65,799.0,0.0,0.3990000000000001
21,28.13,24.65,799.0,0.0,0.4180000000000001
22,28.13,24.65,800.0,0.0,0.4370000000000001
23,28.13,24.61,799.0,0.0,0.4560000000000001
24,28.13,24.61,800.0,100.0,0.47500000000000014
25,28.13,24.61,800.0,0.0,0.49400000000000016
26,28.23,24.61,799.0,0.0,0.5130000000000001
27,28.23,24.61,799.0,0.0,0.5320000000000001
28,28.23,24.61,799.0,0.0,0.5510000000000002
29,28.23,24.61,800.0,0.0,0.5700000000000002
30,28.23,24.63,799.0,0.0,0.5890000000000002
31,28.23,24.63,799.0,0.0,0.6080000000000002
32,28.23,24.63,799.0,0.0,0.6270000000000002
33,28.23,24.63,800.0,0.0,0.6460000000000002
34,28.51,24.63,799.0,0.0,0.6650000000000003
35,28.51,24.63,800.0,0.0,0.6840000000000003
36,28.51,24.63,799.0,0.0,0.7030000000000003
37,28.51,24.63,800.0,0.0,0.7220000000000003
38,28.51,24.63,799.0,0.0,0.7410000000000003
39,28.51,24.65,799.0,0.0,0.7600000000000003
40,28.51,24.65,799.0,0.0,0.7790000000000004
41,28.51,24.65,799.0,0.0,0.7980000000000004
42,28.27,24.65,799.0,0.0,0.8170000000000004
43,28.27,24.65,799.0,0.0,0.8360000000000004
44,28.27,24.65,799.0,0.0,0.8550000000000004
45,28.27,24.65,799.0,0.0,0.8740000000000004
46,28.27,24.65,799.0,0.0,0.8930000000000005
47,28.27,24.65,799.0,0.0,0.9120000000000005
48,28.27,24.63,799.0,0.0,0.9310000000000005
49,28.27,24.63,799.0,0.0,0.9500000000000005
50,28.33,24.63,799.0,0.0,0.9690000000000005
51,28.33,24.63,799.0,0.0,0.9880000000000005
52,28.33,24.63,800.0,0.0,1.0070000000000006
53,28.33,24.63,799.0,0.0,1.0260000000000005
54,28.33,24.63,799.0,0.0,1.0450000000000004
55,28.33,24.63,799.0,0.0,1.0640000000000003
56,28.33,24.63,799.0,0.0,1.0830000000000002
57,28.33,24.63,799.0,0.0,1.102
58,28.33,24.63,799.0,0.0,1.121
59,28.43,24.63,799.0,0.0,1.14
60,28.43,24.63,799.0,0.0,1.1589999999999998
61,28.43,24.63,799.0,0.0,1.1779999999999997
